SR Number,Name,Brand,Category,Price,Stock,Color,Size,Availability
1,Compact Printer Air Advanced Digital,"Garner, Boyle and Flynn",Books & Stationery,265,774,ForestGreen,Large,pre_order
2,Tablet,Mueller Inc,Shoes & Footwear,502,81,Black,M,in_stock
3,Smart Blender Cooker,"Lawson, Keller and Winters",Kitchen Appliances,227,726,SlateGray,XS,in_stock
4,Advanced Router Rechargeable,Gallagher and Sons,Kitchen Appliances,121,896,PaleGreen,L,discontinued
5,Portable Mouse Monitor Phone,Irwin LLC,Kids' Clothing,1,925,SeaShell,100x200 mm,discontinued
6,Radio,"Benjamin, Nelson and Hancock",Skincare,426,549,CornflowerBlue,30x40 cm,pre_order
7,Ultra Projector Oven Thermostat Prime Advanced,"Mccoy, Waters and Rose",Laptops & Computers,68,870,Purple,S,discontinued
8,Webcam Stove Grill,Morrow and Sons,Automotive,159,584,MediumOrchid,8x10 in,pre_order
9,Eco Radio,"Edwards, Odonnell and Conley",Skincare,454,499,DimGray,Medium,pre_order
10,Ultra Powerbank Brush Charger Max,"Brennan, Archer and Rosales",Fitness Equipment,845,564,Silver,Extra Large,discontinued
11,Wireless Dock,Russo-West,Health & Wellness,257,168,Wheat,Extra Large,pre_order
12,Fast Camera Router Fan Smart,Vazquez and Sons,Cleaning Supplies,221,672,MidnightBlue,Medium,pre_order
13,Heater Radio,Delgado-Blackwell,Cycling,689,156,Orange,L,pre_order
14,Smart Trimmer Webcam Heater,Contreras PLC,Automotive,279,818,Gainsboro,XXL,pre_order
15,Webcam Dock Heater,"Juarez, Powell and Travis",Cleaning Supplies,101,159,Sienna,30x40 cm,pre_order
16,Automatic Watch Lite Sense,"Reid, Chase and Ballard",Team Sports,316,329,Tan,5x7 in,limited_stock
17,Eco Iron Monitor Air,Barker-Murphy,Automotive,982,47,OliveDrab,XL,out_of_stock
18,Digital Tablet Router Printer Lite,Vazquez-Smith,Health & Wellness,3,732,LemonChiffon,10x10 cm,backorder
19,Eco Freezer Powerbank Watch,"Pruitt, Higgins and Barnett",Cleaning Supplies,340,618,Cyan,S,limited_stock
20,Cooler Fan,Bray LLC,Smartphones,529,844,Bisque,XS,backorder
21,Portable Camera Plus Air Ultra,Wang-Valenzuela,Women's Clothing,197,163,Magenta,L,in_stock
22,Wireless Powerbank 360 Advanced Ultra,Carney Ltd,Bedding & Bath,677,418,Beige,M,out_of_stock
23,Rechargeable Lamp Speakerphone Headphones,"Gallegos, Osborne and Carpenter",Skincare,664,577,DarkBlue,L,pre_order
24,Mini Scooter Microphone,"Douglas, Thornton and Soto",Grooming Tools,784,510,DimGray,L,backorder
25,Rechargeable Webcam Stove Grill,Horn-Pope,Health & Wellness,900,623,PaleGreen,5x7 in,out_of_stock
26,Mini Iron Drone Wireless Pro,Khan-Parrish,Cycling,909,797,CadetBlue,XXL,limited_stock
27,Portable Freezer Phone Automatic Smart,Burton PLC,Automotive,350,756,Snow,XL,pre_order
28,Wireless Webcam Stove Grill,Henry Group,Clothing & Apparel,858,912,LightSalmon,50x70 cm,limited_stock
29,Clock Brush,Larson-Spence,Furniture,985,180,SaddleBrown,Extra Large,in_stock
30,Keyboard Toaster Monitor,Bonilla-Spears,Kids' Clothing,576,988,DarkSlateGray,L,pre_order
31,Silent Printer Fan Shaver,Love LLC,Sports & Outdoors,102,669,MediumSpringGreen,L,limited_stock
32,Wireless Scooter Clean Mini,Terry-Oliver,Fragrances,283,343,MintCream,S,pre_order
33,Advanced Microphone Cooler Eco,"Morales, Weaver and Fernandez",Smartphones,904,532,LightCyan,Extra Large,limited_stock
34,Automatic Brush Fast Eco,Newman Ltd,Kids' Clothing,407,285,SeaGreen,8x10 in,out_of_stock
35,Premium Bicycle Microphone,"Novak, Archer and Walton",Shoes & Footwear,480,364,AliceBlue,Extra Large,discontinued
36,Smart Phone Scooter Clean,Marshall-Dougherty,Women's Clothing,635,727,MediumVioletRed,10x10 cm,backorder
37,Bicycle,Hays-Cunningham,Smartphones,234,394,White,10x10 cm,backorder
38,Ultra Dock Trimmer Automatic Edge,Barnes-Glass,Kids' Clothing,640,780,LightBlue,5x7 in,discontinued
39,Wireless Tablet Router Printer Wireless Premium Air,Meyers-Hess,Sports & Outdoors,781,947,BlanchedAlmond,XL,out_of_stock
40,Clean Printer Advanced Premium Sense,Williamson PLC,Haircare,913,820,Moccasin,Small,discontinued
41,Silent Dock Fast,"May, Hendrix and Robbins",Fishing & Hunting,100,802,CadetBlue,M,limited_stock
42,Ultra Speakerphone Oven Go Smart X,"Zimmerman, Barr and Davis",Office Supplies,999,853,MediumOrchid,12x18 in,pre_order
43,Rechargeable Projector Pro,"Levine, Martin and Mccann",Home Decor,935,55,SlateBlue,XL,limited_stock
44,Eco Vacuum,Werner PLC,Health & Wellness,259,668,LightCoral,5x7 in,in_stock
45,Smart Grill Tablet Fridge Go Smart Smart,"Huff, Cameron and Stephenson",Fitness Equipment,488,966,Cornsilk,10x10 cm,out_of_stock
46,Digital Stove Silent Pro,"Suarez, Riddle and Sanders",Health & Wellness,161,349,OrangeRed,Extra Large,limited_stock
47,Portable Powerbank X Air,Hanson-Schultz,Camping & Hiking,599,263,Moccasin,Large,discontinued
48,Clock,"Malone, Jacobson and Hudson",Team Sports,731,664,FloralWhite,S,limited_stock
49,Radio Treadmill,Barron-Little,Office Supplies,511,395,Violet,XL,discontinued
50,Ultra Cooler Treadmill Touch Pro Ultra,Bonilla-Oconnell,Fragrances,214,574,NavajoWhite,XXL,pre_order
51,Mini Fridge Camera,Decker and Sons,Fitness Equipment,777,832,PaleGoldenRod,Extra Large,in_stock
52,Rechargeable Tablet Plus Portable Mini,Mooney-Gonzales,Fragrances,820,535,Cyan,100x200 mm,in_stock
53,Tablet,"Blake, Weiss and Montgomery",Beauty & Personal Care,408,922,Chocolate,M,backorder
54,Wireless Light Toaster Lite Touch Eco,Singleton PLC,Bedding & Bath,791,827,Fuchsia,50x70 cm,in_stock
55,Scooter,Rivas Group,Cameras & Accessories,370,601,DarkOrchid,L,backorder
56,Advanced Camera Heater Webcam X Ultra Prime,Cervantes Ltd,Office Supplies,224,372,Peru,50x70 cm,discontinued
57,Ultra Keyboard Compact Eco,Pace-Hodges,Books & Stationery,514,491,LightGray,8x10 in,backorder
58,Portable Scale Speaker Powerbank Clean,Morris LLC,Women's Clothing,689,332,PowderBlue,Small,backorder
59,Oven Speaker Fan,Schwartz Ltd,Men's Clothing,489,423,GoldenRod,Small,pre_order
60,Automatic Speaker Router Lamp Prime,"Sexton, Dickerson and Blair",Grooming Tools,621,667,FireBrick,5x7 in,in_stock
61,Smart Webcam Projector Lock,Stokes Inc,Men's Clothing,440,973,SteelBlue,Medium,in_stock
62,Fast Fan,Ali-Oliver,Cleaning Supplies,982,804,DarkOrchid,100x200 mm,backorder
63,Automatic Cooler Edge,"Odonnell, Boyle and Oconnor",Beauty & Personal Care,124,513,LimeGreen,50x70 cm,pre_order
64,Advanced Freezer Advanced Advanced,Gill LLC,Office Supplies,489,561,Tomato,S,pre_order
65,Silent Trimmer Shaver Fast,Munoz Group,Smartphones,130,876,DarkSlateGray,5x7 in,in_stock
66,Treadmill,"Frost, Christensen and Burnett",Women's Clothing,731,744,Cyan,5x7 in,out_of_stock
67,Mini Charger Lock Oven Sense Sense,"Burton, Gross and Giles",Haircare,750,623,Olive,12x18 in,in_stock
68,Thermostat Trimmer,"Hester, Love and Lynch","Accessories (Bags, Hats, Belts)",206,677,MidnightBlue,8x10 in,discontinued
69,Clean Iron Premium Air Wireless,"Shepherd, Greene and House",Beauty & Personal Care,293,700,GhostWhite,XXL,out_of_stock
70,Compact Mouse Mouse Router Mini,Barry PLC,Smartwatches,5,247,PapayaWhip,10x10 cm,limited_stock
71,Premium Lock Mini Advanced,"Elliott, Mcfarland and Duran",Automotive,12,439,Plum,XS,pre_order
72,Silent Webcam Webcam Treadmill Sense Portable Advanced,George-Day,Makeup,148,650,Aqua,M,backorder
73,Compact Thermostat Oven,Hull Inc,Home & Kitchen,685,747,SaddleBrown,30x40 cm,in_stock
74,Wireless Watch Tablet Printer Automatic Eco Sense,Fleming Inc,Smartwatches,59,169,Sienna,Large,out_of_stock
75,Automatic Blender,Mahoney-Bryan,Home Decor,630,438,LightGoldenRodYellow,8x10 in,backorder
76,Rechargeable Webcam Dock Heater,Kennedy-Gordon,Cycling,800,151,Brown,XXL,in_stock
77,Clean Toaster Oven Air Touch,Olsen-Sawyer,Kids' Clothing,365,71,LimeGreen,Medium,pre_order
78,Brush,"Lowe, Mosley and Rivera",Bedding & Bath,273,623,RoyalBlue,S,in_stock
79,Portable Kettle,Sampson-Leon,Home & Kitchen,50,413,MediumAquaMarine,L,pre_order
80,Rechargeable Brush Compact,Castro-Mccarty,Automotive,748,326,Sienna,S,out_of_stock
81,Fast Heater Cooker Compact Silent,"Decker, Montes and Logan",Makeup,367,19,Orchid,8x10 in,in_stock
82,Mini Drone X Portable,Whitney Group,Books & Stationery,352,123,BlueViolet,Medium,backorder
83,Heater Keyboard,Brooks and Sons,Office Supplies,103,208,Chocolate,Extra Large,backorder
84,Wireless Fan Thermostat Max Automatic Max,Kaiser-Banks,Books & Stationery,423,759,MidnightBlue,5x7 in,in_stock
85,Fast Keyboard,Lewis Ltd,Camping & Hiking,998,10,Cyan,50x70 cm,limited_stock
86,Ultra Mixer Toaster Toaster Smart,Galloway and Sons,Women's Clothing,342,221,Tomato,S,pre_order
87,Silent Speakerphone Scanner Monitor,Cowan Inc,Fragrances,593,580,Navy,XXL,discontinued
88,Silent Scanner Monitor Treadmill,"Nichols, Howe and Miller",Health & Wellness,30,728,Wheat,10x10 cm,pre_order
89,Fast Vacuum Cooler,Blair-Russell,Sports & Outdoors,307,320,LightSalmon,L,limited_stock
90,Digital Trimmer,Christian-Tanner,Laptops & Computers,541,488,SteelBlue,M,pre_order
91,Automatic Trimmer Sense,Harrington-Valentine,Kitchen Appliances,405,950,SlateGray,8x10 in,in_stock
92,Portable Scooter Wireless Digital,Bauer Inc,Cameras & Accessories,519,495,DeepSkyBlue,Large,in_stock
93,Fridge Cooker,Jackson Group,Furniture,393,499,Black,Small,in_stock
94,Scanner,"Wang, Ayala and Bowen",Cleaning Supplies,472,63,ForestGreen,12x18 in,backorder
95,Ultra Radio Radio,Maldonado-Ritter,Haircare,382,639,Aquamarine,12x18 in,pre_order
96,Router,Atkinson Inc,Laptops & Computers,375,703,Gainsboro,8x10 in,limited_stock
97,Fast Thermostat Microphone Scooter,Shea Ltd,Beauty & Personal Care,289,727,White,Extra Large,backorder
98,Eco Heater Toaster Stove Silent Sense,West Ltd,Cleaning Supplies,232,998,OldLace,Small,limited_stock
99,Clean Blender Scale Lite,"Bell, Gamble and Barrett",Camping & Hiking,241,391,Aquamarine,5x7 in,limited_stock
